accurate	inaccurate
majority	minority
miser	spendthrift
spendthrift	miser
misunderstand	understand
understand	misunderstand
nadir	zenith
zenith	nadir
wide	narrow
far, distant	near
messy, untidy	neat
new	old
old	young
no	yes
yes	no
noisy	quiet
some	none
north	south
south	north
obedient	disobedient
disobedient	obedient
offer	refuse
young	old
on	off
off	on
closed, shut	open
opposite	similar
similar	opposite
optimist	pessimist
pessimist	optimist
over	under
under	over
past	present
present	past
patient	impatient
impatient	patient
peace	war
war	peace
permanent	temporary
temporary	permanent
plentiful	scarce
scarce	plentiful
plural	singular
singular	plural
poetry	prose
prose	poetry
polite	rude
rudely nicely
possible	impossible
impossible	possible
poverty	wealth
wealth	poverty
powerful	weak
weak	strong
pretty	ugly
private	public
public	private
prudent	imprudent
imprudent	prudent
pure	impure
impure	pure
push	pull
pull	push
qualified	unqualified
unqualified	qualified
raise	lower
lower	raise
rapid	slow
real	fake
fake	real
regular	irregular
irregular	regular
rich	poor
poor	rich
left, wrong	right
right-side-up	upside-down
upside-down	right-side-up
smooth	rough
unsafe	safe
same	opposite
satisfactory	unsatisfactory
unsatisfactory	satisfactory
scatter	collect
collect	scatter
second-hand	new
secure	insecure
insecure	secure
serious	trivial
simple	complex
complex	simple
slim	fat
sober	drunk
drunk	sober
sorrow	joy
joy	sorrow
sour	sweet
start	finish
finish	start
success	failure
failure	success
sunny	cloudy
cloudy	sunny
take	give
tall	short
tame	wild
wild	tame
them	us
us	them
thick	thin
huge	tiny
tough	easy
frightful	fun
transparent	opaque
horrible	great
pathetic	amazing
unintelligent	intelligent
stressful	fun
truth	lie
lie	truth
lies	truth
upstairs	downstairs
downstairs	upstairs
useful	useless
useless	useful
vacant	occupied
occupied	vacant
uncomfortable	comfortable
comfortable	uncomfortable
vanish	appear
vast	tiny
punished rewarded
victory	defeat
defeat	victory
virtue	vice
vice	virtue
visible	invisible
invisible	visible
wax	wane
wane	wax
wet	dry
wisdom	stupidity
stupidity	wisdom
within	outside
wrong	right
yin	yang
yang	yin
zip	unzip
unzip	zip
surprised	notsurprised
crisis	calm
